"Yes","Sì"
"No","No"
"Members have been sent correctly","Segmentazione completata con successo. L'esportazione verso eMailChef verra' attivata nei prossimi 5 minuti. La durata totale dell'esportazione dipende dal volume dei dati trasferiti."
"Warning: no member has been selected","Attenzione: non hai inviato nessun iscritto"
"WARNING: before proceeding you must correctly configure the settings of eMailChef access in System->Configuration->Newsletter->eMailChef","ATTENZIONE: prima di procedere devi configurare correttamente i parametri per accedere a eMailChef in Sistema->Configurazione->Newsletter->eMailChef"
"Apply filter","Applica filtro"
"Get hints","Ottieni suggerimenti"
"Sold products","Prodotti venduti"
"All customers","Tutti i clienti"
"Customers who have purchased","I clienti che hanno acquistato"
"Customers who have not purchased","I clienti che non hanno mai acquistato"
"Select product","Seleziona un prodotto"
"Any","Qualsiasi"
"Select category","Seleziona una categoria"
"Groups","Tipo di cliente"
"Select customer group","Seleziona gruppo di clienti"
"Location","Provenienza cliente"
"Select country","Seleziona paese"
"Zip code","CAP"
"From","Data inizio"
"To","Data fine"
"Total purchased amount","Somma totale ordinata"
"Order total","Totale ordinato"
"less than","minore di"
"same as","uguale a"
"more than","maggiore di"
"Specify amount","Inserisci il valore"
"Date of purchase","Data ordini"
"Show customers who","Seleziona utenti che"
"Haven't purchased","Non hanno effettuato un ordine"
"Have purchased","Hanno effettuato un ordine"
"In this period","Nel periodo"
"Filter hints","Filtri salvati"
"All wholesale customers who haven't purchased yet","Tutti i clienti all'ingrosso che non hanno mai acquistato"
"Set filter","imposta filtro"
"More than 50 Euros orders","Tutti i clienti che hanno acquistato per oltre 50 Euro"
"Members with no purchase in","Tutti i clienti che non hanno acquistato nel"
"Reset filters","Reimposta i filtri"
"Export to CSV","Esporta in CSV"
"Send to eMailChef","Invia a eMailChef"
"Confirm filtered customers and select eMailChef group","Conferma i clienti filtrati e scegli gruppo di eMailChef"
"Were found","Sono stati trovati"
"records","clienti corrispondenti ai criteri di ricerca"
"Filtered customers","Clienti filtrati"
"Selected list","Lista selezionata"
"Next step","Prossimo Step"
"Select group","Seleziona gruppo"
"Select an existing group","Scegli tra i gruppi gi&agrave; presenti su eMailChef"
"or","oppure"
"Create new customer group","Crea nuovo gruppo"
"Group name","Inserisci il nome del nuovo gruppo"
"Add a new e-mail address or select adresses to be removed from list","Aggiungi o rimuovi manualmente gli indirizzi email dalla lista"
"Change members list: please add one email adress per row","Modifica manualmente l'elenco degli iscritti, scrivere un solo indirizzo email per ogni riga"
"Save changes","Applica modifiche"
"Set and customize one of the following filters:","Imposta e personalizza uno dei seguenti filtri:"
"Filter customers","Filtra i clienti"
"You can find it on your browser url bar (e.g. g4a0.s03.it)","Si trova nella barra degli indirizzi del tuo browser (es. g4a0.s03.it)"
"If you haven't yet, we suggest you to create a DEM list directly from your emailchef console","Se non &egrave; stato ancora fatto &egrave; consigliabile creare una lista dedicata alle DEM direttamente dalla console di eMailChef"
"Insert product SKU","Inserisci lo SKU del prodotto"
"Enable Cron Export","Abilita Export Automatico"
"Subscription date","Data di iscrizione"
"Save hint","Salva il suggerimento"
"Delete hint","Cancella il suggerimento"
"Set hint","Applica il suggerimento"
"Or choose one of those you saved:","O scegline uno tra quelli che hai salvato:"
"Do you really want to delete this hint?","Vuoi davvero cancellare questo suggerimento?"
"Please, give your new hint a name.","Per favore, dai un nome al tuo nuovo suggerimento."
"Save current filters as hint","Salva i filtri correnti come suggerimento"
"Opted-in Only","Clienti iscritti alla newsletter"
"All customers","Tutti i clienti"
"Products and categories","Prodotti e categorie"
"dd/mm/yyyy","gg/mm/aaaa"
"e.g.","es."
"Opt-in Status","Iscrizione alla newsletter"
"Associate all Magento fields with eMailChef ones","Associa i campi Magento con quelli eMailChef"
"Fields mapping","Mappa campi"
"Filters","Sincronizza/segmenta clienti"
"Export Frequency","Frequenza di esportazione"
"Enable Automatic Data Export to eMailChef","Abilita l'export automatico dei dati verso eMailChef"
"Admin Console URL","URL della console di amministrazione"
"Web Service Username","Username dei web service"
"Web Service Password","Password dei web service"
"You can set it in your console (Manage->Web Services), then type it here","Puoi impostarla dalla tua console (Gestione->Web service)"
"Allow Guest Subscription","Permetti l'iscrizione di utenti ospiti"
"Error: unable to save current filter","Errore: impossibile salvare il filtro corrente"
"Error: unable to delete the filter","Errore: impossibile eliminare il filtro selezionato"
"Magento fields","Campi Magento"
"eMailChef fields","Campi eMailChef"
"By this plugin you can import contacts registered in your eCommerce in the eMailChef platform.","Crea segmenti personalizzati usando i filtri sottostanti e trasferiscili facilmente in un gruppo esistente (o nuovo) del tuo account eMailChef."
"Please fill the web service username","Compila il campo Username dei web service"
"Web service username is not in the right format","Il campo Username dei web service non è nel formato corretto, dovrebbe essere formato dalla lettera a seguita da alcuni numeri (es: a12345)"
"Please fill the admin console URL","Compila il campo URL della console di amministrazione"
"Admin console URL is not in the right format","Il campo URL della console di amministrazione non è nel formato corretto, un esempio di URL valida è abc123.s00.it"
"Unable to connect to eMailChef console","Impossibile connettersi alla console di eMailChef"
"Your subscription is waiting for confirmation","La tua iscrizione alla newsletter è in attesa di conferma, controlla la tua casella email e clicca sul link inviatoti"
"eMailChef configuration is not complete", "La configurazione di eMailChef non è completa, <a href=''>clicca qui</a> per digitare le informazioni mancanti"
"eMailChef fields mapping is not complete","La mappatura dei campi eMailChef non è completa, <a href=''>clicca qui</a> per digitare le informazioni mancanti"
"Connect to eMailChef","Connetti a eMailChef"
"For assistance visit help.emailchef.com and search for ""API credentials""","Per assistenza visita help.emailchef.com e cerca ""credenziali API"""
"View data transfer log","Log di trasferimento dati"
"Enable subscription checkbox during checkout","Abilita la checkbox di iscrizione alla newsletter in fase di checkout"
"Next step","Prossimo passo"
"Filtered customers preview","Anteprima dei clienti filtrati (max 25)"
"A eMailChef import process is running.","L'importazione verso eMailChef è in esecuzione."
"A eMailChef import process is schedules and will be executed soon.","L'importazione verso eMailChef è schedulata e inizierà a breve."
"Please wait for the next step to load","Attendere il caricamento della prossima schermata"
